Auction,AREA,ближайший порт,"Минивэны, большие седаны
(Более 13,5/M3) ","машины менее 13,5/M3",,"В категорию ""минивэны и 
большие седаны"" входят:",,,,,last update 30/03/2026,,
AUCNET,***,-,по факту,по факту,,TOYOTA,,ALPHARD,,,,,
ARAI BAYSIDE,KANTO,YOKOHAMA,$625,$555,,,,IPSUM,,,Доплата к ФОБу в зависимости от цены авто,,
ARAI OYAMA,KANTO,YOKOHAMA,$690,$620,,,,LAND CRUISER,,,цена авто (yen),м3 менее 13.5,м3 более 13.5
ARAI OYAMA V/T,KANTO,YOKOHAMA,$690,$620,,,,VOXY,,,301.000 - 500.000,30USD,0USD
ARAI SENDAI,TOHOKU,YOKOHAMA,$715,$645,,,,HARRIER,,,501.000-1.000.000,70USD,40USD
BAYAUC,KANSAI,OSAKA,$630,$560,,,,ESTIMA,,,1.001.000-1.500.000,170USD,140USD
BDS KANSAI,KANSAI,OSAKA,$500,$500,,,,NOAH,,,1.501.000-2.000.000,270USD,240USD
BDS KANTO,KANTO,YOKOHAMA,$500,$500,,NISSAN,,ELGRAND,,,2.001.000-2.501.000,390USD,360USD
BDS KYUSHU,KYUSHU,FUKUOKA,$500,$500,,,,FUGA Y51,,,2.501.000-,ASK,ASK
CAA CHUBU,CHUBU,NAGOYA,$635,$565,,,,SERENA,,,,,
CAA GIFU,CHUBU,NAGOYA,$640,$570,,,,X-TRAIL,,,ADDITIONAL CHARGE FOR STORAGE FEE,,
CAA TOHOKU,TOHOKU,YOKOHAMA,$800,$730,,HONDA,,ELYSION,,,1-21 days,,free
CAA TOKYO,KANTO,YOKOHAMA,$655,$585,,,,CR-V,,,22 days ~,,3$ per day
HAA KOBE,KANSAI,OSAKA,$630,$560,,,,STEP WAGON,,,,,
HERO,KANTO,YOKOHAMA,$660,$590,,MERCEDES,,VIANO,,,,,
HONDA HOKKAIDO,HOKKAIDO,YOKOHAMA,$815,$745,,,,V230,,,*На все битые/аварийные/без оценки/ авто  добавляются транспортные расходы по факту!,,
HONDA KANSAI,KANSAI,OSAKA,$630,$560,,,,"750LI, 745LI, 740I, 735I",,,** На дорогие авто свыше нескольких млн йен добавочные транспортные расходы составят от 300 до 2000 долларов,,
HONDA KYUSHU,KYUSHU,FUKUOKA,$655,$585,,,,"S500L, S600L, S320, S55L",,,ADDITIONAL CHARGE ,,
HONDA NAGOYA,CHUBU,NAGOYA,$625,$555,,,,X6,,,переговоры,,$100
HONDA SENDAI,TOHOKU,YOKOHAMA,$715,$645,,,,"ML55, 350",,,one price,,$150
HONDA TOKYO,KANTO,YOKOHAMA,$660,$640,,,,G500L,,,грузовики более 15М3,,200$
I-AUC(ISUZU KOBE),KANSAI,OSAKA,$710,$640,,MITSUBISHI,,DELICA SPACEGEAR,,,,,
I-AUC(ISUZU KYUSHU),KYUSHU,FUKUOKA,$710,$640,,,,GRANDIS,,,,,
I-AUC(ISUZU TOKYO),KANTO,YOKOHAMA,$745,$675,,,,OUTLANDER,,,,,
IAA OSAKA,KANSAI,OSAKA,$630,$560,,,,PAJERO,,,,,
JAA,KANTO,YOKOHAMA,$645,$575,,,,AIRTREK CU5W,,,,,
JU AICHI,CHUBU,NAGOYA,$625,$555,,OTHER,,MPV,,,,,
JU AKITA,TOHOKU,YOKOHAMA,$815,$745,,,,BIANTE,,,,,
JU AOMORI,TOHOKU,YOKOHAMA,$815,$745,,,,300C,,,,,
JU CHIBA,KANTO,YOKOHAMA,$650,$580,,,,ACTIVE HYBRID 7,,,,,
JU FUKUI,HOKURIKU,NAGOYA,$700,$630,,,,MKX,,,,,
JU FUKUOKA,KYUSHU,FUKUOKA,$635,$565,,,,EXPRESS,,,,,
JU FUKUSHIMA,TOHOKU,YOKOHAMA,$715,$645,,,,NAVIGATOR,,,,,
JU GIFU,CHUBU,NAGOYA,$640,$570,,,,SAFARI,,,,,
JU GUNMA,KANTO,YOKOHAMA,$675,$605,,,,ESCALADE,,,,,
JU HIROSHIMA,CHUGOKU,OSAKA,$725,$655,,,,SUBURBAN,,,,,
JU IBARAKI,KANTO,YOKOHAMA,$690,$620,,,,ASTRO,,,,,
JU ISHIKAWA,HOKURIKU,NAGOYA,$690,$620,,,,SEQUOIA,,,,,
JU KANAGAWA,KANTO,YOKOHAMA,$675,$605,,,,CAYENNE,,,,,
JU KUMAMOTO,KYUSHU,FUKUOKA,$700,$630,,,,FX35,,,,,
JU MIE,CHUBU,NAGOYA,$665,$595,,,,TRAILBLAZER,,,,,
JU MIYAGI,TOHOKU,YOKOHAMA,$715,$645,,,,TAHOE,,,,,
JU MIYAZAKI,KYUSHU,FUKUOKA,$725,$655,,* также к этой категории относятся все большие грузовики ,,,,,,,
JU NAGANO,KANTO,YOKOHAMA,$745,$675,,"** к этой категории могут относиться и другие неуказанные марки, в зависимости от модели кузова ",,,,,,,
JU NAGASAKI,KYUSHU,FUKUOKA,$770,$700,,,,,,,,,
JU NARA,KANSAI,OSAKA,$645,$575,,,,,,,,,
JU NIIGATA,KANTO,YOKOHAMA,$785,$715,,,,,,,,,
JU OITA,KYUSHU,FUKUOKA,$700,$630,,,,,,,,,
JU OKINAWA,KYUSHU,FUKUOKA,$900,$830,*доставка по факту,,,,,,,,
JU SAITAMA,KANTO,YOKOHAMA,$655,$585,,,,,,,,,
JU SAPPORO,HOKKAIDO,YOKOHAMA,$815,$745,,,,,,,,,
JU SHIMANE,CHUGOKU,KANSAI,$800,$730,,,,,,,,,
JU SHIZUOKA,CHUBU,NAGOYA,$690,$620,,,,,,,,,
JU TOCHIGI,KANTO,YOKOHAMA,$710,$640,,,,,,,,,
JU TOKYO,KANTO,YOKOHAMA,$655,$585,,,,,,,,,
JU TOYAMA,HOKURIKU,NAGOYA,$690,$620,,,,,,,,,
JU YAMAGATA,TOUHOKU,YOKOHAMA,$740,$670,,,,,,,,,
JU YAMAGUCHI,KYUSHU,FUKUOKA,$675,$605,,,,,,,,,
JU YAMANASHI,KANTO,YOKOHAMA,$730,$660,,,,,,,,,
KCAA FUKUOKA,KYUSHU,FUKUOKA,$635,$565,,,,,,,,,
KCAA KYOTO,KANSAI,OSAKA,$645,$575,,,,,,,,,
KCAA MINAMIKYUSHU,KYUSHU,FUKUOKA,$725,$655,,,,,,,,,
KCAA MINAMIKYUSHU 2ND,KYUSHU,FUKUOKA,$725,$655,,,,,,,,,
KCAA YAMAGUCHI,KYUSHU,FUKUOKA,$675,$605,,,,,,,,,
LAA OKAYAMA,KANSAI,OSAKA,$675,$605,,,,,,,,,
LAA SHIKOKU,SHIKOKU,OSAKA,$700,$630,,,,,,,,,
LUM FUKUOKA,KYUSHU,FUKUOKA,$650,$580,,,,,,,,,
LUM KOBE,KANSAI,OSAKA,$640,$570,,,,,,,,,
LUM NAGOYA,CHUBU,NAGOYA,$635,$565,,,,,,,,,
LUM SAPPORO,HOKKAIDO,YOKOHAMA,$825,$755,,,,,,,,,
LUM TOKYO,KANTO,YOKOHAMA,$710,$640,,,,,,,,,
MIRIVE AICHI,CHUBU,NAGOYA,$625,$555,,,,,,,,,
MIRIVE OSAKA,KANSAI,OSAKA,$640,$570,,,,,,,,,
MIRIVE SAITAMA,KANTO,YOKOHAMA,$660,$590,,,,,,,,,
NAA FUKUOKA,KYUSHU,FUKUOKA,$635,$565,,,,,,,,,
NAA NAGOYA,CHUBU,NAGOYA,$635,$565,,,,,,,,,
NAA OSAKA,KANSAI,OSAKA,$635,$565,,,,,,,,,
NAA TOKYO,KANTO,YOKOHAMA,$625,$555,,,,,,,,,
NOAA,KANSAI,OSAKA,$630,$560,,,,,,,,,
NPS FUKUOKA,KYUSHU,FUKUOKA,$635,$565,,,,,,,,,
NPS OSAKA,KANSAI,OSAKA,$630,$560,,,,,,,,,
NPS SENDAI,TOHOKU,YOKOHAMA,$715,$645,,,,,,,,,
NPS TOCHIGI,KANTO,YOKOHAMA,$700,$630,,,,,,,,,
NPS TOKYO,KANTO,YOKOHAMA,$655,$585,,,,,,,,,
NPS TOMAKOMAI,HOKKAIDO,YOKOHAMA,$815,$745,,,,,,,,,
ORIX ATSUGI,KANTO,YOKOHAMA,$660,$590,,,,,,,,,
ORIX FUKUOKA,KYUSHU,FUKUOKA,$635,$565,,,,,,,,,
ORIX KOBE,KANSAI,OSAKA,$630,$560,,,,,,,,,
ORIX SENDAI,TOHOKU,YOKOHAMA,$715,$645,,,,,,,,,
SAA HAMAMATSU,HOKKAIDO,YOKOHAMA,$675,$605,,,,,,,,,
SAA SAPPORO,HOKKAIDO,YOKOHAMA,$815,$745,,,,,,,,,
TAA CHUBU,CHUBU,NAGOYA,$630,$560,,,,,,,,,
TAA HIROSHIMA,CHUGOKU,OSAKA,$700,$630,,,,,,,,,
TAA HOKKAIDO,HOKKAIDO,YOKOHAMA,$815,$745,,,,,,,,,
TAA HYOGO,KANSAI,OSAKA,$630,$560,,,,,,,,,
TAA KANTO,KANTO,YOKOHAMA,$645,$575,,,,,,,,,
TAA KINKI,KANSAI,OSAKA,$630,$560,,,,,,,,,
TAA KYUSHU,KYUSHU,FUKUOKA,$635,$565,,,,,,,,,
TAA MINAMIKYUSHU,KYUSHU,FUKUOKA,$725,$655,,,,,,,,,
TAA SHIKOKU,SHIKOKU,OSAKA,$700,$630,,,,,,,,,
TAA TOHOKU,TOHOKU,YOKOHAMA,$715,$645,,,,,,,,,
TAA YOKOHAMA,KANTO,YOKOHAMA,$625,$555,,,,,,,,,
USS FUKUOKA,KYUSHU,FUKUOKA,$640,$570,,,,,,,,,
USS GUNMA,KANTO,YOKOHAMA,$700,$630,,,,,,,,,
USS HOKURIKU,HOKURIKU,NAGOYA,$715,$645,,,,,,,,,
USS KOBE,KANSAI,OSAKA,$640,$570,,,,,,,,,
USS KYUSHU,KYUSHU,FUKUOKA,$640,$570,,,,,,,,,
USS NAGOYA,CHUBU,NAGOYA,$635,$565,,,,,,,,,
USS NIIGATA,KANTO,YOKOHAMA,$805,$735,,,,,,,,,
USS OKAYAMA,CHUGOKU,OSAKA,$695,$625,,,,,,,,,
USS OSAKA,KANSAI,OSAKA,$640,$570,,,,,,,,,
USS R NAGOYA,CHUBU,NAGOYA,$635,$565,,,,,,,,,
USS SAITAMA,KANTO,YOKOHAMA,$685,$615,,,,,,,,,
USS SAPPORO,HOKKAIDO,YOKOHAMA,$825,$755,,,,,,,,,
USS SHIZUOKA,CHUBU,NAGOYA,$710,$640,,,,,,,,,
USS TOHOKU,TOHOKU,YOKOHAMA,$725,$655,,,,,,,,,
USS TOKYO,KANTO,YOKOHAMA,$655,$585,,,,,,,,,
USS YOKOHAMA,KANTO,YOKOHAMA,$625,$555,,,,,,,,,
ZERO CHIBA,KANTO,YOKOHAMA,$655,$585,,,,,,,,,
ZERO HAKATA,KYUSHU,FUKUOKA,$635,$565,,,,,,,,,
ZERO HOKKAIDO,HOKKAIDO,YOKOHAMA,$825,$755,,,,,,,,,
ZERO OSAKA,KANSAI,OSAKA,$630,$560,,,,,,,,,
ZERO SENDAI,TOUHOKU,YOKOHAMA,$715,$645,,,,,,,,,
ZERO SYONAN,KANTO,YOKOHAMA,$675,$605,,,,,,,,,
ZIP OSAKA,KANSAI,OSAKA,$640,$570,,,,,,,,,
ZIP TOKYO,KANTO,OSAKA,$630,$560,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,, ,,,,,,,
